,count,mean,std,min,25%,50%,75%,max
having_IPhaving_IP_Address,11055.0,0.3137946630483944,0.9495338154105023,-1.0,-1.0,1.0,1.0,1.0
URLURL_Length,11055.0,-0.6331976481230213,0.7660953979620415,-1.0,-1.0,-1.0,-1.0,1.0
Shortining_Service,11055.0,0.7387607417458164,0.6739982630539751,-1.0,1.0,1.0,1.0,1.0
having_At_Symbol,11055.0,0.7005879692446857,0.7135983183811276,-1.0,1.0,1.0,1.0,1.0
double_slash_redirecting,11055.0,0.7414744459520579,0.6710114564998306,-1.0,1.0,1.0,1.0,1.0
Prefix_Suffix,11055.0,-0.7349615558570782,0.6781394473596466,-1.0,-1.0,-1.0,-1.0,1.0
having_Sub_Domain,11055.0,0.06395296246042514,0.8175181463585492,-1.0,-1.0,0.0,1.0,1.0
SSLfinal_State,11055.0,0.25092718227046584,0.9118923591753737,-1.0,-1.0,1.0,1.0,1.0
Domain_registeration_length,11055.0,-0.3367706919945726,0.941629282659595,-1.0,-1.0,-1.0,1.0,1.0
Favicon,11055.0,0.6285843509724107,0.7777765966720811,-1.0,1.0,1.0,1.0,1.0
port,11055.0,0.7282677521483492,0.6853236942493315,-1.0,1.0,1.0,1.0,1.0
HTTPS_token,11055.0,0.6750791497060153,0.7377786787677046,-1.0,1.0,1.0,1.0,1.0
Request_URL,11055.0,0.18679330619629128,0.9824436723138199,-1.0,-1.0,1.0,1.0,1.0
URL_of_Anchor,11055.0,-0.07652645861601086,0.7151377380903652,-1.0,-1.0,0.0,0.0,1.0
Links_in_tags,11055.0,-0.11813658977838082,0.7639726486372924,-1.0,-1.0,0.0,0.0,1.0
SFH,11055.0,-0.5957485300768883,0.7591430622574044,-1.0,-1.0,-1.0,-1.0,1.0
Submitting_to_email,11055.0,0.6356399819086386,0.7720205483526357,-1.0,1.0,1.0,1.0,1.0
Abnormal_URL,11055.0,0.7052917232021709,0.7089492574170909,-1.0,1.0,1.0,1.0,1.0
Redirect,11055.0,0.11569425599276345,0.319872397237268,0.0,0.0,0.0,0.0,1.0
on_mouseover,11055.0,0.7620985979194934,0.6474902705763756,-1.0,1.0,1.0,1.0,1.0
RightClick,11055.0,0.9138851198552691,0.40599125311129325,-1.0,1.0,1.0,1.0,1.0
popUpWidnow,11055.0,0.6133876074174581,0.789817745505081,-1.0,1.0,1.0,1.0,1.0
Iframe,11055.0,0.8169154228855722,0.5767835685571473,-1.0,1.0,1.0,1.0,1.0
age_of_domain,11055.0,0.06123925825418363,0.9981682618539277,-1.0,-1.0,1.0,1.0,1.0
DNSRecord,11055.0,0.37711442786069654,0.9262085660284081,-1.0,-1.0,1.0,1.0,1.0
web_traffic,11055.0,0.2872908186341022,0.827733305155332,-1.0,0.0,1.0,1.0,1.0
Page_Rank,11055.0,-0.4836725463591135,0.875288620734488,-1.0,-1.0,-1.0,1.0,1.0
Google_Index,11055.0,0.7215739484396201,0.6923686876301836,-1.0,1.0,1.0,1.0,1.0
Links_pointing_to_page,11055.0,0.34400723654454995,0.5699441215933668,-1.0,0.0,0.0,1.0,1.0
Statistical_report,11055.0,0.7195838986883764,0.6944369192931252,-1.0,1.0,1.0,1.0,1.0
Result,11055.0,0.11388511985526911,0.9935388624260831,-1.0,-1.0,1.0,1.0,1.0
